outcome,Stat,Average
Loss,FGM,37.19243821615363
Win,FGM,41.20031487540282
Loss,FG PCT,0.4423697848045674
Win,FG PCT,0.4825722860446238
Loss,REB,42.008504012456584
Win,REB,44.546874615630614
Loss,DREB,29.74256397971813
Win,DREB,32.24752158618484
Loss,OREB,12.159340439972851
Win,OREB,12.029150574401614
Loss,AST,22.23763324949096
Win,AST,25.01345600354235
Loss,TOV,15.115782329221064
Win,TOV,14.67737571031463
Loss,BLK,4.833712620273885
Win,BLK,5.465695800841308
Loss,STL,7.524533876312533
Win,STL,8.283486261100588
Loss,FTA,25.4621711182976
Win,FTA,28.165899977860324
Loss,FTM,18.993731784245618
Win,FTM,21.739760399498167
