Season,Home_Win_Rate,Games_Played,Home_Win_Pct
1946,0.62,350,62.0
1947,0.5813953488372093,215,58.1
1948,0.6394736842105263,380,63.9
1949,0.6981450252951096,593,69.8
1950,0.7539267015706806,382,75.4
1951,0.7535014005602241,357,75.4
1952,0.7340425531914894,376,73.4
1953,0.7241379310344828,348,72.4
1954,0.7620578778135049,311,76.2
1955,0.6996805111821086,313,70.0
1956,0.7702265372168284,309,77.0
1957,0.7034482758620689,290,70.3
1958,0.7034482758620689,290,70.3
1959,0.6850152905198776,327,68.5
1962,0.6854219948849105,391,68.5
1963,0.6494845360824743,388,64.9
1964,0.6298342541436464,362,63.0
1965,0.7242268041237113,388,72.4
1967,0.6104868913857678,534,61.0
1968,0.6197916666666666,576,62.0
1969,0.6363636363636364,616,63.6
1971,0.5836734693877551,735,58.4
1972,0.5918918918918918,740,59.2
1973,0.6211096075778079,739,62.1
1974,0.6454891994917408,787,64.5
1975,0.6862745098039216,51,68.6
1976,0.7272727272727273,55,72.7
1977,0.6795811518324607,955,68.0
1978,0.6652719665271967,956,66.5
1979,0.6533613445378151,952,65.3
1980,0.6148445336008024,997,61.5
1981,0.5997983870967742,992,60.0
1982,0.618421052631579,988,61.8
1983,0.6748046875,1024,67.5
1984,0.6383399209486166,1012,63.8
1985,0.6554787759131293,1013,65.5
1986,0.6673228346456693,1016,66.7
1987,0.6819512195121952,1025,68.2
1988,0.6703397612488522,1089,67.0
1989,0.6511430990685859,1181,65.1
1990,0.6567544604927783,1177,65.7
1991,0.6353637901861252,1182,63.5
1992,0.6143459915611814,1185,61.4
1993,0.6110108303249098,1108,61.1
1994,0.5930626057529611,1182,59.3
1995,0.6045340050377834,1191,60.5
1996,0.5827395091053048,1263,58.3
1997,0.5995241871530531,1261,60.0
1998,0.6219974715549936,791,62.2
1999,0.6112510495382032,1191,61.1
2000,0.5971451229183188,1261,59.7
2001,0.5902602854743912,1191,59.0
2002,0.6262705238467553,1279,62.6
2003,0.6197957580518461,1273,62.0
2004,0.601063829787234,1316,60.1
2005,0.5994043186895012,1343,59.9
2006,0.5925925925925926,1431,59.3
2007,0.610252808988764,1424,61.0
2008,0.6047652417659425,1427,60.5
2009,0.6019553072625698,1432,60.2
2010,0.6138268156424581,1432,61.4
2011,0.5936651583710407,1105,59.4
2012,0.6403940886699507,203,64.0
2013,0.5735191637630662,1435,57.4
2014,0.5772187281621244,1431,57.7
2015,0.5928521373510862,1427,59.3
2016,0.5821529745042493,1412,58.2
2017,0.584051724137931,1392,58.4
2018,0.5898021308980214,1314,59.0
2019,0.5459317585301837,1143,54.6
2020,0.5419407894736842,1216,54.2
2021,0.5527456647398844,1384,55.3
2022,0.5743145743145743,1386,57.4
